unidentifiable	x/nY/dEn/tI/fY/x/bxl
waffles	wc/fxlz
wagon	w@/gxn
walker	wc/kR
walking	wc/kIG
wallet	wc/lIt
warren	wc/rIn
washer	wc/SR
washes	wc/SIz
washing	wc/SIG
watches	wa/CIz
watching	wa/CIG
water	wc/tR
water's	wc/tRz
wearing	we/rIG
weather	wE/DR
wetter	wE/tR
whipping	wI/pIG
whistle	wI/sxl
wiggins	wI/gInz
wiggle	wI/gxl
wiggles	wI/gxlz
willing	wI/lIG
wishes	wI/SIz
woman	wU/mxn
women	wI/mIn
wooden	wU/dxn
wouldn't	wU/dxnt
would've	wU/dxv
wrapper	r@/pR
wrapping	r@/pIG
wrecker	rE/kR
wrecking	rE/kIG
written	rI/txn
yawning	yc/nIG
yelling	yE/lIG
zipper	zI/pR
zippers	zI/pRz
amen	e/mEn
cannot	k@/nat
doggone	dc/gcn
minute	mY/nut
process	pra/sEs
uhhum	^/h^m
abu	a/bu
ago	x/go
agree	x/gri
ahoy	@/hoI
apply	x/plY
array	x/re
away	x/we
below	bx/lo
degree	dx/gri
deny	dI/nY
hooray	hU/re
hurray	hU/re
review	rI/vyu
today	tx/de
whoopee	wU/pi
ali	a/li
any	E/ni
ashley	@S/li
ashy	@/Si
baggy	b@/gi
batty	b@/ti
berry	bE/ri
bitty	bI/ti
bobby	ba/bi
body	ba/di
bonny	ba/ni
borrow	ba/ro
bubbly	b^/bli
buddy	b^/di
bury	bE/ri
busy	bI/zi
carrie	k@/ri
carry	k@/ri
cherry	CE/ri
chubby	C^/bi
chuckie	C^/ki
city	sI/ti
coffee	kc/fi
connie	ka/ni
cookie	kU/ki
crabby	kr@/bi
cubby	k^/bI
daddy	d@/di
daffy	d@/fi
dairy	de/ri
ditty	dI/ti
dizzy	dI/zi
doggie	dc/gi
doggy	dc/gi
dolly	dc/li
dotty	da/ti
dummy	d^/mi
dusty	d^s/ti
eddie	E/di
emmy	E/mi
every	E/vri
fanny	f@/ni
fellow	fE/lo
ferry	fE/ri
floppy	fla/pi
fluffy	fl^/fi
follow	fa/lo
funny	f^/ni
fussy	f^/si
fuzzy	f^/zi
gabby	g@/bi
galley	g@/li
ghetto	gE/to
gimme	gI/mi
golly	ga/li
goody	gU/di
grammy	gr@/mi
granny	gr@/ni
gritty	grI/ti
hairy	he/ri
happy	h@/pi
harry	h@/ri
heavy	hE/vi
hello	hE/lo
hippo	hI/po
holly	ha/li
honey	h^/ni
hoppy	S0/pI
icky	I/ki
jackie	J@/ki
jello	JE/lo
jelly	JE/li
jerry	JE/ri
jimmy	JI/mi
johnny	Ja/ni
jolly	Ja/li
kelly	kE/li
kelsey	kEl/si
kenny	kE/ni
kiddie	kI/di
kitty	kI/ti
lily	lI/li
lippie	klI/pI
lolly	la/li
lori	lc/ri
lovie	l^/vi
lucky	l^/ki
maggie	m@/gi
mammy	m@/mi
many	mE/ni
marry	m@/ri
marymary	me/ri
matthew	m@T/yu
meadow	mE/do
messy	mE/si
mickey	mI/ki
minnie	mI/ni
missy	mI/si
mommy	ma/mi
money	m^/ni
muddy	m^/di
mushy	m^/Si
nappy	n@/pi
naughty	nc/ti
nipple	nI/pxl
nutty	n^/ti
paddy	p@/di
patchy	p@/Ci
patty	p@/ti
peary	pi/ri
penny	pE/ni
picky	pI/ki
piggy	pI/gi
pillow	pI/lo
pissy	pI/si
poppy	pa/pi
potty	pa/ti
prairie	pre/ri
pretty	prI/ti
pussy	pU/si
ready	rE/di
reggie	rE/Ji
runny	r^/ni
sally	s@/li
sammy	s@/mi
scary	ske/ri
scratchy	skr@/Ci
scrubby	skr^/bi
scurry	skR/ri
shabby	S@/bi
shadow	S@/do
shaggy	S@/gi
shallow	S@/lo
sherri	SE/ri
shimmy	SI/mi
silly	sI/li
skinny	skI/ni
slippy	slI/pi
sloppy	sla/pi
smelly	smE/li
snippy	snI/pi
snotty	sna/ti
soggy	sc/gi
sonny	s^/ni
sorry	sa/ri
sparrow	sp@/ro
spotty	spa/ti
spunky	sp^G/ki
squishy	skwI/Si
steady	stE/di
sticky	stI/ki
story	sto/ri
study	st^/di
stuffy	st^/fi
sunny	s^/ni
swallow	swa/lo
sweaty	swE/ti
teddy	tE/di
telly	tE/li
terry	tE/ri
tommy	ta/mi
touchy	t^/Ci
toughie	t^/fi
tricky	trI/ki
tummy	t^/mi
veggie	vE/Ji
very	vE/ri
wacky	w@/ki
walkie	wc/ki
whoopie	wU/pi
willie	wI/li
willow	wI/lo
willy	wI/li
winnie	wI/ni
wobbly	wc/bli
woody	wU/di
woolly	wU/li
wooly	wU/li
worry	wR/ri
yellow	yE/lo
yucky	y^/ki
yummy	y^/mi
zero	zi/ro
ally	@/lY
ballet	b@/le
iago	i/a/go
popeye	pa/pY
statue	st@/Cu
tissue	tI/Su
uhoh	^/o
about	x/bWt
abuse	x/byus
account	x/kWnt
accused	x/kyuzd
achieved	x/Civd
advice	@d/vYs
afraid	x/fred
agreed	x/grid
alike	x/lYk
alive	x/lYv
allow	x/lW
allowed	x/lWd
alone	x/lon
aloud	x/lWd
amazed	x/mezd
amount	x/mWnt
approached	x/proCt
arise	x/rYz
around	x/rWnd
arrange	x/renJ
arrived	x/rYvd
ashamed	x/Semd
asleep	x/slip
assume	x/sum
assumed	x/sumd
awake	x/wek
baboon	b@/bun
became	bx/kem
behaved	bx/hevd
behind	bx/hYnd
believe	bx/liv
believed	bx/livd
beneath	bx/niT
beside	bx/sYd
besides	bx/sYdz
caboose	kx/bus
cocoon	kx/kun
decide	dI/sYd
delete	dx/lit
deprive	dI/prYv
derived	dI/rYvd
design	dI/zYn
desire	dI/zYr
device	dI/vYs
devour	dI/vW/R
erase	I/res
machine	mx/Sin
machines	mx/Sinz
nicole	nI/kol
parade	px/red
patrice	px/tris
police	px/lis
polite	px/lYt
raccoon	r@/kun
raccoons	r@/kunz
receipt	rI/sit
receive	rI/siv
refused	rI/fyuzd
rejoice	rI/JOs
released	rx/list
relieves	rx/livz
remind	rx/mYnd
reminds	rx/mYndz
remote	rx/mot
remove	rx/muv
removed	rx/muvd
renewed	rI/nud
replace	rI/ples
replied	rI/plYd
reply	rI/plY
requires	rI/kwYrz
retired	rI/tYrd
reveal	rI/vil
supplies	sx/plYz
suppose	sx/poz
supposed	sx/pozd
surprise	sR/prYz
surprised	sR/prYzd
today's	tx/dez
tonight	tx/nYt
trapeze	trx/piz
without	wI/DWt
between	bx/twin
produced	prx/dust
berries	bE/riz
borrowed	ba/rod
buddies	b^/diz
buried	bE/rid
carried	k@/rid
cherries	CE/riz
cookies	kU/kiz
copied	ka/pid
daddy's	d@/diz
doggies	dc/giz
dollies	dc/liz
duckies	d^/kiz
followed	fa/lod
fuzzies	f^/ziz
hippos	hI/poz
kitties	kI/tiz
lilies	lI/liz
married	m@/rid
mary's	me/riz
minnows	mI/noz
pennies	pE/niz
piggies	pI/giz
pillows	pI/loz
pretties	prI/tiz
puppies	p^/piz
series	si/riz
shadows	S@/doz
stories	sto/riz
swallowed	swa/lod
swallows	swa/loz
talkies	tc/kiz
teddies	tE/diz
tummies	t^/miz
worries	wR/riz
yummies	y^/miz
bellowed	bE/lod
heros	hi/roz
refuge	rE/fyuJ
tattoos	t@/tuz
tissues	tI/Suz
vacuum	v@/kyum
baba	ba/bx
debra	dE/brx
donna	da/nx
drama	dra/mx
fella	fE/lx
gonna	g^/nx
gotcha	ga/Cx
gotta	ga/tx
hannah	h@/nx
laura	lc/rx
mama	ma/mx
mamma	ma/mx
mega	mE/gx
momma	ma/mx
papa	pa/px
pasta	pa/stx
paula	pc/lx
sara	s@/rx
sarah	s@/rx
vera	vi/rx
wanna	wa/nx
gaga	ga/ga
haha	ha/ha
uhuh	^/h^
a	e
an	@n
and	@nd
are	ar
as	@z
at	@t
can	k@n
does	d^z
for	fcr
has	h@z
her	hR
him	hIm
his	hIz
is	Iz
it	It
of	^v
or	cr
our	W/R
some	s^m
than	D@n
the	D^
their	Der
to	tu
us	^s
was	w^z
we	wi
your	yUr
have	h@v
that	D@t
act	@kt
acts	@kts
ad	@d
add	@d
age	eJ
ah	a
aid	ed
aids	edz
aim	em
aimed	emd
ain't	ent
air	er
aisle	Yl
al	@l
all	cl
am	@m
ann	@n
ant	@nt
ants	@nts
arc	ark
aren't	arnt
ark	ark
arm	arm
arms	armz
arts	arts
ask	@sk
asked	@skt
ate	et
aunt	@nt
aunts	@nts
aw	c
ax	@ks
aye	Y
baa	ba
babe	beb
babes	bebz
back	b@k
backed	b@kt
backs	b@ks
bad	b@d
bag	b@g
bags	b@gz
bah	ba
bake	bek
baked	bekt
bald	bcld
ball	bcl
balls	bclz
bam	b@m
band	b@nd
bands	b@ndz
bang	b@G
banged	b@Gd
bank	b@Gk
bar	bar
bark	bark
barked	barkt
barks	barks
barn	barn
barrel	b@/rxl
bars	barz
bart	bart
be	bi
beard	bird
beer	bir
bee's	biz
beg	bEg
beings	bi/IGz
belts	bElts
beth	bET
bid	bId
big	bIg
bills	bIlz
bin	bIn
bits	bIts
blade	bled
blades	bledz
blank	bl@Gk
bleat	blit
blend	blEnd
blends	blEndz
blond	bland
blood	bl^d
bloom	blum
bob	bab
bog	bcg
bond	band
book	bUk
boost	bust
bounds	bWndz
bout	bWt
bowed	bWd
boy	bO
bra	bra
brat	br@t
breast	brEst
broad	brcd
browns	brWnz
brunch	br^nC
bucks	b^ks
buds	b^dz
builds	bIldz
bummed	b^md
bumps	b^mps
bums	b^mz
burke	bRk
burps	bRps
but	b^t
buts	b^ts
butts	b^ts
cane	ken
can't	k@nt
cares	kerz
car's	karz
caused	kczd
cell	sEl
cent	sEnt
chains	Cenz
charged	CarJd
charm	Carm
chat	C@t
checks	CEks
cheer	Cir
chews	Cuz
chimp	CImp
choice	COs
chopped	Capt
chore	Cor
cleared	klird
clipped	klIpt
cloaks	kloks
clowns	klWnz
clue	klu
clumps	kl^mps
clunk	kl^Gk
coats	kots
cob	kab
cock	kak
code	kod
coke	kok
combs	komz
come	k^m
cooked	kUkt
cracked	kr@kt
cramped	kr@mpt
crashed	kr@St
crazed	krezd
crock	krak
crooks	krUks
crossed	krcst
crowd	krWd
crud	kr^d
crumb	kr^m
crust	kr^st
cube	kyub
curb	kRb
curds	kRdz
curse	kRs
czech	CEk
damn	d@m
dan	d@n
dazed	dezd
dense	dEns
did	dId
dies	dYz
digs	dIgz
discs	dIsks
dived	dYvd
do	du
dodge	daJ
dome	dom
don't	dont
door's	dorz
dorm	dorm
dough	do
dove	d^v
down	dWn
doze	doz
drew	dru
drips	drIps
drives	drYvz
drove	drov
drown	drWn
dug	d^g
dukes	duks
dyed	dYd
dyes	dYz
earned	Rnd
eat	it
eel	il
eighth	etT
el	El
elves	Elvz
ewe	yu
faced	fest
fade	fed
fart	fart
fates	fets
fawn	fcn
feast	fist
fenced	fEnst
fifth	fIfT
fig	fIg
fins	fInz
fires	fYrz
flaps	fl@ps
fleece	flis
fleet	flit
flicked	flIkt
floors	florz
floor's	florz
flows	floz
foam	fom
fooled	fuld
forced	forst
forks	fcrks
foul	fWl
fours	forz
fourths	forTs
frank	fr@Gk
fried	frYd
frown	frWn
froze	froz
fruits	fruts
fussed	f^st
gained	gend
gasped	g@spt
gates	gets
gears	girz
gels	JElz
george	JcrJ
get	gEt
girl	gRl
girl's	gRlz
gloss	glcs
glove	gl^v
go	go
gods	gadz
good	gUd
goof	guf
got	gat
gots	gats
gown	gWn
gowns	gWnz
grabs	gr@bz
grade	gred
grain	gren
gram	gr@m
grand	gr@nd
grant	gr@nt
grate	gret
greats	grets
grind	grYnd
growth	groT
guest	gEst
guide	gYd
gun	g^n
guns	g^nz
guy's	gYz
hag	h@g
hair's	herz
hawk	hck
hawn	hcn
he	hi
heal	hil
heals	hilz
heap	hip
heaped	hipt
heart's	harts
heels	hilz
height	hYt
here	hir
hey	he
hi	hY
hinge	hInJ
hips	hIps
hired	hYrd
holds	holdz
hoop	hup
how	hW
hue	hyu
huh	h^
hump	h^mp
i	Y
ill	Il
i'm	Ym
in	In
it's	Its
jail	Jel
jarred	Jard
jaw	Jc
jaws	Jcz
jim's	JImz
johns	Janz
john's	Janz
judge	J^J
june's	Junz
just	J^st
jut	J^t
kate	ket
ken	kEn
kicks	kIks
killed	kIld
kneel	nil
knives	nYvz
knobs	nabz
knocks	naks
know	no
knox	naks
lace	les
lack	l@k
lame	lem
latch	l@C
latched	l@Ct
laughed	l@ft
lays	lez
leaned	lind
leaped	lipt
learns	lRnz
led	lEd
ledge	lEJ
lee	li
let	lEt
lets	lEts
let's	lEts
lied	lYd
like	lYk
limbs	lImz
lined	lYnd
links	lIGks
lists	lIsts
lit	lIt
loan	lon
locks	laks
log	lcg
longed	lcGd
look	lUk
loons	lunz
loop	lup
looped	lupt
loosed	lust
lop	lap
lou	lu
lowed	lod
luck	l^k
lump	l^mp
lure	lUr
mac	m@k
mails	melz
mall	mcl
map	m@p
marked	markt
mars	marz
marsh	marS
mash	m@S
mate	met
mates	mets
me	mi
meaned	mind
melts	mElts
mesh	mES
mets	mEts
mew	myu
mike's	mYks
mile	mYl
miles	mYlz
mint	mInt
mist	mIst
mo	mo
mopped	mapt
more	mor
moss	mcs
moths	mcDz
mount	mWnt
ms	mIz
my	mY
names	nemz
name's	nemz
nerve	nRv
nerves	nRvz
newt	nut
niece	nis
night's	nYts
no	no
north	ncrT
nosed	nozd
not	nat
notes	nots
now	nW
odd	ad
off	cf
oh	o
oiled	Old
on	an
one	w^n
ours	W/Rz
out	Wt
owe	o
packs	p@ks
paged	peJd
paid	ped
pairs	perz
pal	p@l
pans	p@nz
pant	p@nt
parked	parkt
paused	pczd
paw	pc
paws	pcz
peeks	piks
peel	pil
peeped	pipt
pens	pEnz
per	pR
pete	pit
phones	fonz
piles	pYlz
pipe	pYp
pit	pIt
pitched	pICt
placed	plest
plates	plets
play	ple
plops	plaps
plow	plW
plunged	pl^nJd
poem	po/xm
pole	pol
poohs	puz
pooped	pupt
pose	poz
pound	pWnd
pours	porz
pressed	prEst
price	prYs
prick	prIk
pricked	prIkt
prime	prYm
prize	prYz
proof	pruf
prove	pruv
prowl	prWl
prunes	prunz
psalm	sam
pulls	pUlz
pump	p^mp
pup	p^p
pups	p^ps
put	pUt
quail	kwel
quails	kwelz
quiz	kwIz
quote	kwot
raced	rest
rags	r@gz
rail	rel
raise	rez
rake	rek
ram	r@m
ranch	r@nC
rap	r@p
rat	r@t
rats	r@ts
rays	rez
rear	rir
rent	rEnt
rex	rEks
rhyme	rYm
rhymes	rYmz
ribs	rIbz
rides	rYdz
right	rYt
rinsed	rInst
ron	ran
rooms	rumz
room's	rumz
ross	rcs
rove	rov
rubbed	r^bd
rugs	r^gz
rules	rulz
rushed	r^St
rye	rY
saint	sent
sakes	seks
saves	sevz
say	se
scene	sin
scenes	sinz
scent	sEnt
scored	skord
scrape	skrep
screech	skriC
screw	skru
screwed	skrud
scrubbed	skr^bd
search	sRC
see	si
seemed	simd
seize	siz
sell	sEl
served	sRvd
serves	sRvz
sew	so
sewn	son
shared	Serd
sheared	Sird
shells	SElz
shifts	SIfts
shin	SIn
ships	SIps
shock	Sak
shocked	Sakt
shod	Sad
shoe's	Suz
shot	Sat
shots	Sats
shoved	S^vd
showed	Sod
sid	sId
sieve	sIv
sigh	sY
sighed	sYd
signed	sYnd
sill	sIl
sings	sIGz
sipped	sIpt
sips	sIps
sized	sYzd
skill	skIl
skills	skIlz
skirts	skRts
skull	sk^l
skunk	sk^Gk
slapped	sl@pt
slave	slev
sleek	slik
sleet	slit
slid	slId
slides	slYdz
slight	slYt
slime	slYm
slipped	slIpt
slob	slab
slosh	slaS
slouch	slWC
slug	sl^g
smelled	smEld
smiled	smYld
smiles	smYlz
smith	smIT
snail	snel
snails	snelz
snatched	sn@Ct
sneak	snik
sniff	snIf
snipped	snIpt
snoops	snups
snooze	snuz
snow's	snoz
snuck	sn^k
snuff	sn^f
so	so
soak	sok
source	sors
south	sWT
span	sp@n
specks	spEks
speed	spid
speeds	spidz
spell	spEl
spent	spEnt
sphere	fir
spike	spYk
spines	spYnz
split	splIt
spoil	spOl
spool	spul
sport	sport
sports	sports
spots	spats
sprat	spr@t
spreads	sprEdz
springs	sprIGz
sprint	sprInt
spruce	sprus
spy	spY
squares	skwerz
squashed	skwaSt
squeaked	skwikt
squeezed	skwizd
squid	skwId
stacked	st@kt
stale	stel
stance	st@ns
starch	starC
stare	ster
stash	st@S
steak	stek
steam	stim
steamed	stimd
steep	stip
steve	stiv
stile	stYl
stool	stul
stores	storz
strapped	str@pt
straps	str@ps
streaks	striks
strike	strYk
strip	strIp
stripe	strYp
striped	strYpt
struck	str^k
sub	s^b
sue	su
suits	suts
swam	sw@m
swan	swcn
swans	swcnz
swear	swEr
sweat	swEt
sweeps	swips
swell	swEl
swept	swEpt
swims	swImz
swings	swIGz
swiss	swIs
switched	swICt
tabs	t@bz
take	tek
tan	t@n
taped	tept
tapes	teps
tar	tar
tarts	tarts
tempt	tEmpt
tense	tEns
tenth	tEnT
terms	tRmz
terri	tE/ri
thank	T@Gk
thanked	T@Gkt
that'd	D@/tId
that's	D@ts
thaw	Tc
theirs	Derz
them	DEm
there	Der
there'll	Der/xl
there's	Derz
they	De
thief	Tif
thigh	TY
thighs	TYz
thing's	TIGz
think	TIGk
thirst	TRst
this	DIs
thorn	Tcrn
those	Doz
thrash	Tr@S
throne	Tron
tide	tYd
ties	tYz
tights	tYts
tile	tYl
tin	tIn
tipped	tIpt
tips	tIps
tires	tYrz
ton	t^n
tons	t^nz
too	tu
toot	tut
toots	tuts
tops	taps
torn	torn
tossed	tcst
tracks	tr@ks
trade	tred
trailed	treld
trails	trelz
trained	trend
trains	trenz
tricks	trIks
tripped	trIpt
troop	trup
trunk	tr^Gk
trunks	tr^Gks
tube	tub
tucked	t^kt
tugged	t^gd
tunes	tunz
tweaks	twiks
twelfth	twElfT
twice	twYs
twirl	twRl
up	^p
ups	^ps
van's	v@nz
vat	v@t
veils	velz
vern	vRn
verse	vRs
vests	vEsts
vin	vIn
vines	vYnz
v's	viz
wakes	weks
walls	wclz
want	w^nt
want's	wants
warmed	wcrmd
warn	wcrn
wasp	wasp
wax	w@ks
we'd	wid
weed	wid
weigh	we
weight	wet
well	wEl
whales	welz
what	w^t
what's	w^ts
when's	wEnz
where	wer
where's	werz
whey	we
whirled	wRld
whoop	wup
whoosh	wuS
why's	wYz
wick	wIk
width	wIdT
wig	wIg
winds	wIndz
wind's	wIndz
wink	wIGk
wished	wISt
with	wID
woe	wo
womb	wum
woo	wu
world's	wRldz
worms	wRmz
worried	wR/rid
worst	wRst
worth	wRT
wound	wWnd
wrist	rIst
writes	rYts
yaks	y@ks
yam	y@m
yank	y@Gk
yapped	y@pt
yarn	yarn
yawned	ycnd
yeah	yR
yeast	yist
yelled	yEld
yes	yEs
yolk	yok
you're	yur
zaps	z@ps
zeus	zus
zone	zon
base	bes
bat	b@t
bath	b@T
baths	b@Ts
bats	b@ts
bay	be
beach	biC
bead	bid
beads	bidz
beak	bik
bean	bin
beans	binz
bear	ber
bears	berz
beast	bist
beat	bit
bed	bEd
beds	bEdz
bed's	bEdz
bee	bi
beef	bif
been	bIn
beep	bip
beeps	bips
bees	biz
beet	bit
beets	bits
being	bi/IG
belch	bElC
bell	bEl
bells	bElz
belt	bElt
ben	bEn
bench	bEnC
bend	bEnd
bent	bEnt
bert	bRt
best	bEst
bet	bEt
bib	bIb
bibs	bIbz
bike	bYk
bikes	bYks
bill	bIl
bird	bRd
birds	bRdz
bird's	bRdz
birth	bRT
bit	bIt
bite	bYt
bites	bYts
black	bl@k
blah	bla
blame	blem
blast	bl@st
bleach	bliC
bleached	bliCt
bleed	blid
bless	blEs
blessed	blE/sId
blew	blu
blind	blYnd
blinds	blYndz
blink	blIGk
block	blak
blocked	blakt
blocks	blaks
blonde	bland
blow	blo
blows	bloz
blue	blu
blue's	bluz
bo	bo
board	bord
boat	bot
boats	bots
boil	bOl
boiled	bOld
bone	bon
bones	bonz
boo	bu
books	bUks
boom	bum
booms	bumz
boot	but
boots	buts
bop	bap
bored	bord
born	bcrn
both	boT
bough	bW
bought	bct
bounce	bWns
bounced	bWnst
bow	bW
bowel	bWl
bowl	bol
bowls	bolz
box	baks
boys	bOz
boy's	bOz
braid	bred
bran	br@n
branch	br@nC
brand	br@nd
brass	br@s
brave	brev
bray	bre
bread	brEd
break	brek
breaks	breks
breath	brET
breathe	briD
breeze	briz
brick	brIk
bricks	brIks
bridge	brIJ
bright	brYt
bring	brIG
brings	brIGz
broke	brok
brook	brUk
broom	brum
brooms	brumz
broth	brcT
brought	brct
brown	brWn
bruce	brus
bruise	bruz
bruised	bruzd
brush	br^S
brushed	br^St
bud	b^d
bug	b^g
bugged	b^gd
bugs	b^gz
bug's	b^gz
build	bIld
built	bIlt
bull	bUl
bum	b^m
bump	b^mp
bumped	b^mpt
bun	b^n
bunch	b^nC
burn	bRn
burned	bRnd
burnt	bRnt
burp	bRp
burped	bRpt
burt	bRt
bus	b^s
bush	bUS
bust	b^st
butt	b^t
buy	bY
buys	bYz
buzz	b^z
by	bY
bye	bY
cage	keJ
cake	kek
cakes	keks
calf	k@f
call	kcl
called	kcld
calls	kclz
calm	kclm
came	kem
camp	k@mp
cans	k@nz
cap	k@p
car	kar
card	kard
cards	kardz
care	ker
carl	karl
cars	karz
cart	kart
case	kes
casts	k@sts
cat	k@t
catch	k@C
cats	k@ts
cat's	k@ts
caught	kct
cause	kcz
cave	kev
caw	kc
cents	sEnts
chair	Cer
chairs	Cerz
chalk	Cck
chance	C@ns
change	CenJ
changed	CenJd
chap	C@p
charge	CarJ
chart	Cart
chase	Ces
chased	Cest
check	CEk
cheek	Cik
cheeks	Ciks
cheep	Cip
cheers	Cirz
cheese	Ciz
chef	SEf
chest	CEst
chew	Cu
chewed	Cud
chi	kY
chick	CIk
child	CYld
chime	CYm
chimes	CYmz
chin	CIn
chip	CIp
chips	CIps
chirp	CRp
choke	Cok
choo	Cu
choose	Cuz
chop	Cap
chris	krIs
christ	krYst
church	CRC
chute	Sut
clamp	kl@mp
clap	kl@p
claus	klWs
clean	klin
cleaned	klind
cleans	klinz
clear	klir
click	klIk
climb	klYm
climbed	klYmd
climbs	klYmz
clink	klIGk
clip	klIp
clips	klIps
clock	klak
close	klos
closed	klozd
cloth	klcT
clothes	kloDz
cloud	klWd
clouds	klWdz
clown	klWn
club	kl^b
cluck	kl^k
clues	kluz
clutch	kl^C
coat	kot
coins	kOnz
cold	kold
colts	kolts
comb	kom
combed	komd
comes	k^mz
cone	kon
cook	kUk
cooks	kUks
cool	kul
cooled	kuld
coop	kup
cord	kcrd
cords	kcrdz
cork	kcrk
corked	kcrkt
corn	kcrn
cost	kcst
costs	kcsts
couch	kWC
cough	kcf
could	kUd
count	kWnt
counts	kWnts
course	kors
cow	kW
cows	kWz
cow's	kWz
crab	kr@b
crack	kr@k
crank	kr@Gk
crap	kr@p
crash	kr@S
crawl	krcl
crawled	krcld
crawls	krclz
cream	krim
creek	krik
creep	krip
crew	kru
crib	krIb
cried	krYd
croak	krok
cross	krcs
crow	kro
crowed	krod
crown	krWn
cruise	kruz
crumbs	kr^mz
crunch	kr^nC
crush	kr^S
cry	krY
cub	k^b
cup	k^p
cups	k^ps
curl	kRl
curled	kRld
cut	k^t
cute	kyut
da	da
dab	d@b
dad	d@d
dad's	d@dz
dame	dem
damp	d@mp
dance	d@ns
dang	d@G
dare	der
dark	dark
darn	darn
dat	d@t
date	det
dawn	dcn
day	de
days	dez
day's	dez
daze	dez
dead	dEd
deal	dil
dear	dir
deck	dEk
deep	dip
deer	dir
dell	dEl
desk	dEsk
dew	du
dial	dYl
die	dY
died	dYd
dig	dIg
ding	dIG
dip	dIp
dips	dIps
dirt	dRt
disc	dIsk
dish	dIS
dive	dYv
dock	dak
dog	dcg
dogs	dcgz
dog's	dcgz
doll	dcl
dolls	dclz
don	dan
done	d^n
dong	daG
doo	du
door	dor
doors	dorz
dos	dcs
dot	dat
doubt	dWt
drag	dr@g
dragged	dr@gd
drain	dren
drank	dr@Gk
draw	drc
drawer	drcr
drawers	drcrz
draws	drcz
dream	drim
dreamed	drimd
dreams	drimz
drenched	drEnCt
dress	drEs
dressed	drEst
dried	drYd
drill	drIl
drink	drIGk
drinks	drIGks
drip	drIp
drive	drYv
drool	drul
drop	drap
dropped	drapt
drops	draps
drum	dr^m
drums	dr^mz
drunk	dr^Gk
dry	drY
dub	d^b
duck	d^k
ducks	d^ks
dude	dud
due	du
dum	d^m
dumb	d^m
dump	d^mp
dumped	d^mpt
dust	d^st
dwight	wYt
dye	dY
each	iC
ear	ir
ears	irz
earth	RT
ease	iz
eats	its
edge	EJ
egg	Eg
eggs	Egz
eight	et
else	Els
end	End
ends	Endz
eve	iv
eye	Y
eyes	Yz
face	fes
fact	f@kt
fair	fer
fake	fek
fall	fcl
falls	fclz
fan	f@n
far	far
farm	farm
fast	f@st
fat	f@t
fault	fclt
faye	fe
fear	fir
fed	fEd
fee	fi
feed	fid
feeds	fidz
feel	fil
feels	filz
feet	fit
fell	fEl
felt	fElt
fence	fEns
fetch	fEC
few	fyu
field	fild
fight	fYt
figs	fIgz
fill	fIl
filled	fIld
film	fIlm
fin	fIn
find	fYnd
finds	fYndz
fine	fYn
fir	fR
fire	fYr
first	fRst
fish	fIS
fist	fIst
fists	fIsts
fit	fIt
fits	fIts
five	fYv
fix	fIks
fixed	fIkst
flag	fl@g
flakes	fleks
flap	fl@p
flash	fl@S
flat	fl@t
fleas	fliz
flew	flu
flip	flIp
float	flot
floats	flots
floor	flor
flop	flap
flow	flo
fluff	fl^f
flush	fl^S
fly	flY
fold	fold
folks	foks
food	fud
foods	fudz
fool	ful
foot	fUt
foots	fUts
fork	fcrk
formed	fcrmd
forth	forT
found	fWnd
four	for
fourth	forT
fox	fcks
frame	frem
freak	frik
fred	frEd
free	fri
freeze	friz
french	frEnC
fresh	frES
fridge	frIJ
friend	frEnd
friends	frEndz
frill	frIl
frog	frcg
frogs	frcgz
from	fr^m
front	fr^nt
fronts	fr^nts
fruit	frut
fry	frY
full	fUl
fun	f^n
fur	fR
fuss	f^s
fuzz	f^z
game	gem
games	gemz
gap	g@p
gas	g@s
gate	get
gave	gev
gear	gir
gee	Ji
geese	gis
gene	Jin
gets	gEts
ghost	gost
gift	gIft
gifts	gIfs
girls	gRlz
give	gIv
gives	gIvz
glad	gl@d
glass	gl@s
globe	glob
gloves	gl^vz
glue	glu
glued	glud
gnat	n@t
goal	gol
goat	got
goats	gots
god	gad
god's	gadz
goes	goz
gold	gold
golf	gclf
gone	gcn
goose	gus
gosh	gaS
grab	gr@b
grabbed	gr@bd
grace	gres
graham	gre/xm
grams	gr@mz
grape	grep
grapes	greps
grass	gr@s
gray	gre
grease	gris
great	gret
greece	gris
greek	grik
green	grin
greg	grEg
grew	gru
grey	gre
grief	grif
grill	grIl
grilled	grIld
grin	grIn
grinch	grInC
grip	grIp
grit	grIt
grits	grIts
gross	gros
grouch	grWC
ground	grWnd
groups	grups
grow	gro
growl	grWl
growled	grWld
grown	gron
grunt	gr^nt
guard	gard
guards	gardz
guess	gEs
guests	gEsts
gum	g^m
gump	g^mp
gums	g^mz
gus	g^s
guy	gY
guys	gYz
gym	JIm
ha	ha
had	h@d
hair	her
haired	herd
hairs	herz
half	h@f
hall	hcl
ham	h@m
hand	h@nd
hands	h@ndz
hand's	h@ndz
hang	h@G
hangs	h@Gz
hard	hard
hare	her
hash	h@S
hat	h@t
hate	het
hats	h@ts
hay	he
head	hEd
heads	hEdz
health	hElT
hear	hir
heard	hRd
hears	hirz
heart	hart
heat	hit
he'd	hid
hee	hi
held	hEld
hell	hEl
he'll	hil
help	hElp
helped	hElpt
helps	hElps
hen	hEn
